,religion,languages
United Kingdom,Christianity,English
United States of America,Christianity,None (English has de facto status but not de jure status)
Australia,Christianity,None (English has de facto status)
Ireland,Christianity,"English, Irish"
United Arab Emirates,Islam,Arabic
Saudi Arabia,Islam,Arabic
Netherlands,Christianity,Dutch
Switzerland,Christianity,"French, German, Italian, Romansh"
Germany,Christianity,German
Canada,Christianity,French
France,Christianity,French
Israel,Buddhism,Hebrew
Italy,Christianity,Italian
Belgium,Christianity,"Dutch, French, German"
Turkey,Islam,Turkish
Kuwait,Islam,Standard Arabic
Spain,Christianity,Spanish
Romania,Christianity,Romanian
Russia,Christianity,Russian
South Africa,Christianity,"Afrikaans, English, Southern Ndebele, Sotho, Northern Sotho, Swazi, Tsonga, Tswana, Venda, Xhosa, Zulu"
India,Buddhism,"Hindi, English"
Greece,Christianity,Greek
China,Buddhism,Mandarin Chinese
Sweden,Christianity,Swedish
New Zealand,Christianity,"English, Maori, New Zealand Sign Language"
Singapore,Buddhism,"English, Malay, Mandarin Chinese, Tamil"
Hong Kong,Atheism,English
Poland,Christianity,Polish
Qatar,Islam,Arabic
Austria,Christianity,German
Egypt,Islam,Arabic
Norway,Christianity,"Norwegian, Sami"
Czech Republic,Christianity,"Czech, Slovak"
Lebanon,Islam,Arabic
Hungary,Christianity,Hungarian
Malaysia,Islam,"Malay, English"
Thailand,Buddhism,Thai
Brazil,Christianity,Portuguese
Portugal,Christianity,Portuguese
Finland,Christianity,"Finnish, Swedish"
Denmark,Christianity,Danish
Malta,Christianity,"Maltese, English"
Bahrain,Islam,Arabic
Indonesia,Islam,"Indonesian, Javanese"
Cyprus,Christianity,"Greek, Turkish"
Luxembourg,Christianity,"French, German, Luxembourgish"
Croatia,Christianity,Croatian
Oman,Islam,Arabic
Bulgaria,Christianity,Bulgarian
Japan,Buddhism,Japanese
Serbia,Christianity,Serbian
Ukraine,Christianity,Ukrainian
Iran,Islam,Persian
South Korea,Atheism,Korean
Philippines,Christianity,"English, Filipino, Filipino Sign Language"
Nigeria,Islam,English
Iceland,Christianity,"Icelandic, Icelandic Sign Language"
Taiwan,Buddhism,"Taiwanese Hokkien, Hakka, and Mandarin"
Pakistan,Islam,"English, Urdu"
Slovakia,Christianity,Slovak
Jersey,Christianity,"English, French"
Slovenia,Christianity,Slovene
Estonia,Christianity,Estonian
Jordan,Islam,Arabic
Lithuania,Christianity,Lithuanian
Latvia,Christianity,Latvian
Mexico,Christianity,Spanish (de facto)
Guernsey,Christianity,"English, French"
Argentina,Christianity,Spanish (de facto)
Isle of Man,Christianity,"English, Manx"
