hotel_address,suburb
 s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,Oost
1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom,Earl's Court
1 2 Serjeant s Inn Fleet Street City of London London EC4Y 1LL United Kingdom,Old Town
1 3 Queens Garden Westminster Borough London W2 3BA United Kingdom,Paddington
1 3 Rue d Argentine 16th arr 75116 Paris France,16th Arrondissement
1 5 Passage Ruelle 18th arr 75018 Paris France,18th Arrondissement
1 8 Russell Square Camden London WC1B 5BE United Kingdom,Bloomsbury
1 Addington Street Lambeth London SE1 7RY United Kingdom,Lambeth
1 Aldwych Westminster Borough London WC2B 4BZ United Kingdom,Covent Garden
1 Avenue Carnot 17th arr 75017 Paris France,17th Arrondissement
1 Bis Rue De Vaugirard 6th arr 75006 Paris France,Quartier de l'Odéon
1 Hamilton Place Park Lane Westminster Borough London W1J 7QY United Kingdom,Belgravia
1 Impasse Marteau 18th arr 75018 Paris France,Quartier de la Chapelle
1 Inverness Terrace Westminster Borough London W2 3JP United Kingdom,Bayswater
1 Kensington Court Kensington and Chelsea London W8 5DL United Kingdom,South Kensington
1 Kings Cross Road Islington London WC1X 9HX United Kingdom,Holborn
1 Place De La Sorbonne 5th arr 75005 Paris France,5th Arrondissement
1 Place Vend me 1st arr 75001 Paris France,1st Arrondissement
1 Rue De Libourne 12th arr 75012 Paris France,Quartier de Bercy
1 Rue Du G n ral Blaise 11th arr 75011 Paris France,11th Arrondissement
1 Rue Sainte Opportune 1st arr 75001 Paris France,Quartier Les Halles
1 Rue Scribe 9th arr 75009 Paris France,9th Arrondissement
1 Shortlands Hammersmith and Fulham London W6 8DR United Kingdom,Brook Green
1 Suffolk Place Westminster Borough London SW1Y 4HX United Kingdom,Covent Garden
1 Waterview Drive Greenwich London SE10 0TW United Kingdom,Greenwich Peninsula
1 rue Geoffroy Marie 9th arr 75009 Paris France,9th Arrondissement
10 12 rue Cognacq Jay 7th arr 75007 Paris France,7th Arrondissement
